handle,tiktok_url,tier,music_policy,youtube_manager_email,meta_manager_email,creator_email,last_run_date,onboarding_notes
agency_creator_039,https://www.tiktok.com/@agency_creator_039,lite,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator039@agency-demo.test,2026-06-09,"Agency demo roster"
agency_creator_040,https://www.tiktok.com/@agency_creator_040,standard,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator040@agency-demo.test,2026-06-10,"Agency demo roster"
agency_creator_041,https://www.tiktok.com/@agency_creator_041,lite,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator041@agency-demo.test,2026-06-11,"Agency demo roster"
agency_creator_042,https://www.tiktok.com/@agency_creator_042,standard,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator042@agency-demo.test,2026-06-12,"Agency demo roster"
agency_creator_043,https://www.tiktok.com/@agency_creator_043,lite,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator043@agency-demo.test,2026-06-13,"Agency demo roster"
agency_creator_044,https://www.tiktok.com/@agency_creator_044,standard,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator044@agency-demo.test,2026-06-14,"Agency demo roster"
agency_creator_045,https://www.tiktok.com/@agency_creator_045,lite,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator045@agency-demo.test,2026-06-15,"Agency demo roster"
agency_creator_046,https://www.tiktok.com/@agency_creator_046,standard,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator046@agency-demo.test,2026-06-16,"Agency demo roster"
agency_creator_047,https://www.tiktok.com/@agency_creator_047,lite,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator047@agency-demo.test,2026-06-17,"Agency demo roster"
agency_creator_048,https://www.tiktok.com/@agency_creator_048,standard,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator048@agency-demo.test,2026-06-18,"Agency demo roster"
agency_creator_049,https://www.tiktok.com/@agency_creator_049,lite,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator049@agency-demo.test,2026-06-19,"Agency demo roster"
agency_creator_050,https://www.tiktok.com/@agency_creator_050,standard,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator050@agency-demo.test,2026-06-20,"Agency demo roster"
agency_creator_051,https://www.tiktok.com/@agency_creator_051,lite,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator051@agency-demo.test,2026-06-21,"Agency demo roster"
agency_creator_052,https://www.tiktok.com/@agency_creator_052,standard,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator052@agency-demo.test,2026-06-22,"Agency demo roster"
agency_creator_053,https://www.tiktok.com/@agency_creator_053,lite,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator053@agency-demo.test,2026-06-23,"Agency demo roster"
agency_creator_054,https://www.tiktok.com/@agency_creator_054,standard,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator054@agency-demo.test,2026-06-24,"Agency demo roster"
agency_creator_055,https://www.tiktok.com/@agency_creator_055,lite,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator055@agency-demo.test,2026-06-25,"Agency demo roster"
agency_creator_056,https://www.tiktok.com/@agency_creator_056,standard,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator056@agency-demo.test,2026-06-26,"Agency demo roster"
agency_creator_057,https://www.tiktok.com/@agency_creator_057,lite,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator057@agency-demo.test,2026-06-27,"Agency demo roster"
agency_creator_058,https://www.tiktok.com/@agency_creator_058,standard,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator058@agency-demo.test,2026-06-28,"Agency demo roster"
agency_creator_059,https://www.tiktok.com/@agency_creator_059,lite,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator059@agency-demo.test,2026-06-29,"Agency demo roster"
agency_creator_060,https://www.tiktok.com/@agency_creator_060,standard,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator060@agency-demo.test,2026-06-30,"Agency demo roster"
agency_creator_061,https://www.tiktok.com/@agency_creator_061,lite,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator061@agency-demo.test,2026-06-01,"Agency demo roster"
agency_creator_062,https://www.tiktok.com/@agency_creator_062,standard,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator062@agency-demo.test,2026-06-02,"Agency demo roster"
agency_creator_063,https://www.tiktok.com/@agency_creator_063,lite,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator063@agency-demo.test,2026-06-03,"Agency demo roster"
agency_creator_064,https://www.tiktok.com/@agency_creator_064,standard,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator064@agency-demo.test,2026-06-04,"Agency demo roster"
agency_creator_065,https://www.tiktok.com/@agency_creator_065,lite,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator065@agency-demo.test,2026-06-05,"Agency demo roster"
agency_creator_066,https://www.tiktok.com/@agency_creator_066,standard,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator066@agency-demo.test,2026-06-06,"Agency demo roster"
agency_creator_067,https://www.tiktok.com/@agency_creator_067,lite,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator067@agency-demo.test,2026-06-07,"Agency demo roster"
agency_creator_068,https://www.tiktok.com/@agency_creator_068,standard,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator068@agency-demo.test,2026-06-08,"Agency demo roster"
agency_creator_069,https://www.tiktok.com/@agency_creator_069,lite,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator069@agency-demo.test,2026-06-09,"Agency demo roster"
agency_creator_070,https://www.tiktok.com/@agency_creator_070,standard,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator070@agency-demo.test,2026-06-10,"Agency demo roster"
agency_creator_071,https://www.tiktok.com/@agency_creator_071,lite,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator071@agency-demo.test,2026-06-11,"Agency demo roster"
agency_creator_072,https://www.tiktok.com/@agency_creator_072,standard,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator072@agency-demo.test,2026-06-12,"Agency demo roster"
agency_creator_073,https://www.tiktok.com/@agency_creator_073,lite,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator073@agency-demo.test,2026-06-13,"Agency demo roster"
agency_creator_074,https://www.tiktok.com/@agency_creator_074,standard,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator074@agency-demo.test,2026-06-14,"Agency demo roster"
agency_creator_075,https://www.tiktok.com/@agency_creator_075,lite,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator075@agency-demo.test,2026-06-15,"Agency demo roster"
agency_creator_076,https://www.tiktok.com/@agency_creator_076,standard,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator076@agency-demo.test,2026-06-16,"Agency demo roster"
agency_creator_077,https://www.tiktok.com/@agency_creator_077,lite,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator077@agency-demo.test,2026-06-17,"Agency demo roster"
agency_creator_078,https://www.tiktok.com/@agency_creator_078,standard,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator078@agency-demo.test,2026-06-18,"Agency demo roster"
agency_creator_079,https://www.tiktok.com/@agency_creator_079,lite,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator079@agency-demo.test,2026-06-19,"Agency demo roster"
agency_creator_080,https://www.tiktok.com/@agency_creator_080,standard,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator080@agency-demo.test,2026-06-20,"Agency demo roster"
agency_creator_081,https://www.tiktok.com/@agency_creator_081,lite,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator081@agency-demo.test,2026-06-21,"Agency demo roster"
agency_creator_082,https://www.tiktok.com/@agency_creator_082,standard,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator082@agency-demo.test,2026-06-22,"Agency demo roster"
agency_creator_083,https://www.tiktok.com/@agency_creator_083,lite,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator083@agency-demo.test,2026-06-23,"Agency demo roster"
agency_creator_084,https://www.tiktok.com/@agency_creator_084,standard,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator084@agency-demo.test,2026-06-24,"Agency demo roster"
agency_creator_085,https://www.tiktok.com/@agency_creator_085,lite,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator085@agency-demo.test,2026-06-25,"Agency demo roster"
agency_creator_086,https://www.tiktok.com/@agency_creator_086,standard,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator086@agency-demo.test,2026-06-26,"Agency demo roster"
agency_creator_087,https://www.tiktok.com/@agency_creator_087,lite,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator087@agency-demo.test,2026-06-27,"Agency demo roster"
agency_creator_088,https://www.tiktok.com/@agency_creator_088,standard,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator088@agency-demo.test,2026-06-28,"Agency demo roster"
agency_creator_089,https://www.tiktok.com/@agency_creator_089,lite,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator089@agency-demo.test,2026-06-29,"Agency demo roster"
agency_creator_090,https://www.tiktok.com/@agency_creator_090,standard,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator090@agency-demo.test,2026-06-30,"Agency demo roster"
agency_creator_091,https://www.tiktok.com/@agency_creator_091,lite,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator091@agency-demo.test,2026-06-01,"Agency demo roster"
agency_creator_092,https://www.tiktok.com/@agency_creator_092,standard,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator092@agency-demo.test,2026-06-02,"Agency demo roster"
agency_creator_093,https://www.tiktok.com/@agency_creator_093,lite,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator093@agency-demo.test,2026-06-03,"Agency demo roster"
agency_creator_094,https://www.tiktok.com/@agency_creator_094,standard,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator094@agency-demo.test,2026-06-04,"Agency demo roster"
agency_creator_095,https://www.tiktok.com/@agency_creator_095,lite,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator095@agency-demo.test,2026-06-05,"Agency demo roster"
agency_creator_096,https://www.tiktok.com/@agency_creator_096,standard,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator096@agency-demo.test,2026-06-06,"Agency demo roster"
agency_creator_097,https://www.tiktok.com/@agency_creator_097,lite,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator097@agency-demo.test,2026-06-07,"Agency demo roster"
agency_creator_098,https://www.tiktok.com/@agency_creator_098,standard,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator098@agency-demo.test,2026-06-08,"Agency demo roster"
agency_creator_099,https://www.tiktok.com/@agency_creator_099,lite,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator099@agency-demo.test,2026-06-09,"Agency demo roster"
agency_creator_100,https://www.tiktok.com/@agency_creator_100,standard,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator100@agency-demo.test,2026-06-10,"Agency demo roster"
